Date           Open    High    Low     Close   Volume        Vol in 1Adj Close
      3/18/1963   65.93   66.17   65.36   65.61       3250000     325   65.61
      3/19/1963   65.61   65.85   65.19   65.47       3180000     318   65.47
      3/20/1963   65.47   66.15    65.3   65.95       3690000     369   65.95
      3/21/1963   65.95   66.25    65.6   65.85       3220000     322   65.85
      3/22/1963   65.85   66.44   65.68   66.19       3820000     382   66.19
      3/25/1963   66.19    66.6   65.92   66.21       3700000     370   66.21
      3/26/1963   66.21   66.73   66.01    66.4       4100000     410    66.4
      3/27/1963    66.4   66.93   66.21   66.68       4270000     427   66.68
      3/28/1963   66.68   67.01   66.32   66.58       3890000     389   66.58
      3/29/1963   66.58    66.9   66.23   66.57       3390000     339   66.57
       4/1/1963   66.57   67.18   66.23   66.85       3890000     389   66.85
       4/2/1963   66.85   67.36   66.51   66.84       4360000     436   66.84
       4/3/1963   66.84   67.55   66.63   67.36       4660000     466   67.36
       4/4/1963   67.36   68.12   67.28   67.85       5300000     530   67.85
       4/5/1963   67.85   68.46   67.46   68.28       5240000     524   68.28
       4/8/1963   68.28   68.91   68.05   68.52       5940000     594   68.52
       4/9/1963   68.52   68.84   68.03   68.45       5090000     509   68.45
      4/10/1963   68.45   68.89   67.66   68.29       5880000     588   68.29
      4/11/1963   68.29   69.07   67.97   68.77       5250000     525   68.77
      4/15/1963   68.77   69.56   68.58   69.09       5930000     593   69.09
      4/16/1963   69.09   69.61   68.66   69.14       5570000     557   69.14
      4/17/1963   69.14   69.37   68.47   68.92       5220000     522   68.92
      4/18/1963   68.92   69.34   68.56   68.89       4770000     477   68.89
      4/19/1963   68.89   69.46    68.6   69.23       4660000     466   69.23
      4/22/1963   69.23   69.82   69.01    69.3       5180000     518    69.3
      4/23/1963    69.3   69.83   68.95   69.53       5220000     522   69.53
      4/24/1963   69.53   70.12   69.34   69.72       5910000     591   69.72
      4/25/1963   69.72   70.08   69.25   69.76       5070000     507   69.76
      4/26/1963   69.76   70.11   69.23    69.7       4490000     449    69.7
      4/29/1963    69.7   70.04   69.26   69.65       3980000     398   69.65
      4/30/1963   69.65   70.18   69.26    69.8       4680000     468    69.8
       5/1/1963    69.8   70.43   69.61   69.97       5060000     506   69.97
       5/2/1963   69.97    70.5   69.75   70.17       4480000     448   70.17
       5/3/1963   70.17   70.51   69.78   70.03       4760000     476   70.03
       5/6/1963   70.03   70.31   69.32   69.53       4090000     409   69.53
       5/7/1963   69.53   69.92   69.03   69.44       4140000     414   69.44
       5/8/1963   69.44   70.24   69.23   70.01       5140000     514   70.01
       5/9/1963   70.01   70.74   69.86   70.35       5600000     560   70.35
      5/10/1963   70.35   70.81   69.99   70.52       5260000     526   70.52
      5/13/1963   70.52   70.89   70.11   70.48       4920000     492   70.48
      5/14/1963   70.48   70.73   69.92   70.21       4740000     474   70.21
      5/15/1963   70.21   70.77   69.87   70.43       5650000     565   70.43
      5/16/1963   70.43   70.81   69.91   70.25       5640000     564   70.25
      5/17/1963   70.25   70.63   69.83   70.29       4410000     441   70.29
      5/20/1963   70.29   70.48   69.59   69.96       4710000     471   69.96
      5/21/1963   69.96   70.51   69.62   70.14       5570000     557   70.14
      5/22/1963   70.14   70.68   69.82   70.14       5560000     556   70.14
      5/23/1963   70.14   70.53   69.79    70.1       4400000     440    70.1
      5/24/1963    70.1   70.44   69.66   70.02       4320000     432   70.02
      5/27/1963   70.02   70.27   69.48   69.87       3760000     376   69.87
      5/28/1963   69.87   70.41   69.55   70.01       3860000     386   70.01
      5/29/1963   70.01   70.65   69.86   70.33       4320000     432   70.33
      5/31/1963   70.33   71.14   70.27    70.8       4680000     468    70.8
       6/3/1963    70.8   71.24   70.39   70.69       5400000     540   70.69
       6/4/1963   70.69   71.08    70.2    70.7       5970000     597    70.7
       6/5/1963    70.7   71.17   70.17   70.53       5860000     586   70.53
       6/6/1963   70.53   70.95   70.11   70.58       4990000     499   70.58
       6/7/1963   70.58   70.98    70.1   70.41       5110000     511   70.41
      6/10/1963   70.41   70.51   69.57   69.94       4690000     469   69.94
      6/11/1963   69.94   70.41   69.58   70.03       4390000     439   70.03
      6/12/1963   70.03   70.81   69.91   70.41       5210000     521   70.41
      6/13/1963   70.41   70.85   69.98   70.23       4690000     469   70.23
      6/14/1963   70.23    70.6   69.87   70.25       3840000     384   70.25
      6/17/1963   69.95   69.95   69.95   69.95       3510000     351   69.95
      6/18/1963   69.95   70.43   69.63   70.02       3910000     391   70.02
      6/19/1963   70.02   70.47   69.75   70.09       3970000     397   70.09
      6/20/1963   70.09   70.36   69.31   70.01       4970000     497   70.01
