Date Open High Low Close Volume AdjClose TrainTest 
11/5/1962 57.75 58.7 57.69 58.35 432 58.35 train
11/7/1962 58.35 59.11 57.76 58.71 458 58.71 train
11/8/1962 58.71 59.12 58.09 58.32 416 58.32 train
11/9/1962 58.32 58.99 57.9 58.78 434 58.78 train
11/12/1962 58.78 60.0 58.59 59.59 509 59.59 train
11/13/1962 59.59 60.06 59.06 59.46 455 59.46 train
11/14/1962 59.46 60.41 59.18 60.16 509 60.16 train
11/15/1962 60.16 60.67 59.74 59.97 505 59.97 train
11/16/1962 59.97 60.46 59.46 60.16 400 60.16 train
11/19/1962 60.16 60.42 59.46 59.82 341 59.82 train
11/20/1962 59.82 60.63 59.57 60.45 429 60.45 test
11/21/1962 60.45 61.18 60.19 60.81 510 60.81 train
11/23/1962 60.81 62.03 60.66 61.54 566 61.54 test
11/26/1962 61.54 62.13 60.95 61.36 565 61.36 train
11/27/1962 61.36 62.04 60.98 61.73 550 61.73 train
11/28/1962 61.73 62.48 61.51 62.12 598 62.12 train
11/29/1962 62.12 62.72 61.69 62.41 581 62.41 train
11/30/1962 62.41 62.78 61.78 62.26 457 62.26 test
12/3/1962 62.26 62.45 61.28 61.94 381 61.94 train
12/4/1962 61.94 62.93 61.77 62.64 521 62.64 test
12/5/1962 62.64 63.5 62.37 62.39 628 62.39 train
12/6/1962 62.39 63.36 62.28 62.93 460 62.93 train
12/7/1962 62.93 63.43 62.45 63.06 390 63.06 train
12/10/1962 63.06 63.35 61.96 62.27 427 62.27 train
12/11/1962 62.27 62.58 61.72 62.32 370 62.32 test
12/12/1962 62.32 63.16 62.13 62.63 376 62.63 test
12/13/1962 62.63 63.07 62.09 62.42 338 62.42 train
12/14/1962 62.42 62.83 61.96 62.57 328 62.57 train
12/17/1962 62.57 62.95 62.14 62.37 359 62.37 train
12/18/1962 62.37 62.66 61.78 62.07 362 62.07 train
12/19/1962 62.07 62.81 61.72 62.58 400 62.58 train
12/20/1962 62.58 63.28 62.44 62.82 422 62.82 train
12/21/1962 62.82 63.13 62.26 62.64 347 62.64 test
12/24/1962 62.64 63.03 62.19 62.63 318 62.63 train
12/26/1962 62.63 63.32 62.56 63.02 337 63.02 train
12/27/1962 63.02 63.41 62.67 62.93 367 62.93 train
12/28/1962 62.93 63.25 62.53 62.96 414 62.96 train
12/31/1962 62.96 63.43 62.68 63.1 542 63.1 train
1/2/1963 63.1 63.39 62.32 62.69 254 62.69 train
1/3/1963 62.69 63.89 62.67 63.72 457 63.72 train
1/4/1963 63.72 64.45 63.57 64.13 540 64.13 train
1/7/1963 64.13 64.59 63.67 64.12 444 64.12 train
1/8/1963 64.12 64.98 64.0 64.74 541 64.74 test
1/9/1963 64.74 65.22 64.32 64.59 511 64.59 train
1/10/1963 64.59 65.16 64.33 64.71 452 64.71 train
1/11/1963 64.71 65.1 64.31 64.85 441 64.85 test
1/14/1963 64.85 65.5 64.61 65.2 500 65.2 train
1/15/1963 65.2 65.62 64.82 65.11 593 65.11 test
1/16/1963 65.11 65.25 64.42 64.67 426 64.67 train
1/17/1963 64.67 65.4 64.35 65.13 523 65.13 train
1/18/1963 65.13 65.7 64.86 65.18 476 65.18 test
1/21/1963 65.18 65.52 64.64 65.28 409 65.28 train
1/22/1963 65.28 65.8 65.03 65.44 481 65.44 train
1/23/1963 65.44 65.91 65.23 65.62 482 65.62 train
1/24/1963 65.62 66.09 65.33 65.75 481 65.75 train
1/25/1963 65.75 66.23 65.38 65.92 477 65.92 train
1/28/1963 65.92 66.59 65.77 66.24 472 66.24 train
1/29/1963 66.24 66.58 65.83 66.23 436 66.23 train
1/30/1963 66.23 66.33 65.55 65.85 374 65.85 train
1/31/1963 65.85 66.45 65.51 66.2 427 66.2 test
2/1/1963 66.31 66.31 66.31 66.31 428 66.31 train
2/4/1963 66.31 66.66 65.89 66.17 367 66.17 train
2/5/1963 66.17 66.35 65.38 66.11 405 66.11 train
2/6/1963 66.11 66.76 65.88 66.4 434 66.4 train
2/7/1963 66.4 66.81 65.91 66.17 424 66.17 test
2/8/1963 66.17 66.45 65.65 66.17 389 66.17 train
2/11/1963 66.17 66.41 65.5 65.76 388 65.76 train
2/12/1963 65.76 66.01 65.16 65.83 371 65.83 train
2/13/1963 65.83 66.53 65.56 66.15 496 66.15 train
2/14/1963 66.15 66.75 65.93 66.35 564 66.35 test
2/15/1963 66.35 66.74 65.96 66.41 441 66.41 train
2/18/1963 66.41 66.96 66.1 66.52 470 66.52 train
2/19/1963 66.52 66.67 65.92 66.2 413 66.2 test
2/20/1963 66.2 66.28 65.44 65.83 412 65.83 test
2/21/1963 65.83 66.23 65.36 65.92 398 65.92 test
2/25/1963 65.92 66.09 65.24 65.46 368 65.46 train
2/26/1963 65.46 65.86 65.06 65.47 367 65.47 train
2/27/1963 65.47 65.74 64.86 65.01 368 65.01 train
2/28/1963 65.01 65.14 64.08 64.29 409 64.29 train
3/1/1963 64.29 64.75 63.8 64.1 392 64.1 train
3/4/1963 64.1 65.08 63.88 64.72 365 64.72 train
3/5/1963 64.72 65.27 64.41 64.74 328 64.74 train
3/6/1963 64.74 65.06 64.31 64.85 310 64.85 test
3/7/1963 64.85 65.6 64.81 65.26 335 65.26 test
3/8/1963 65.26 65.74 65.03 65.33 336 65.33 train
3/11/1963 65.33 65.86 65.11 65.51 318 65.51 train
3/12/1963 65.51 65.97 65.26 65.67 335 65.67 train
3/13/1963 65.67 66.27 65.54 65.91 412 65.91 train
3/14/1963 65.91 66.21 65.39 65.6 354 65.6 test
3/15/1963 65.6 66.22 65.39 65.93 340 65.93 train
3/18/1963 65.93 66.17 65.36 65.61 325 65.61 test
3/19/1963 65.61 65.85 65.19 65.47 318 65.47 train
3/20/1963 65.47 66.15 65.3 65.95 369 65.95 train
3/21/1963 65.95 66.25 65.6 65.85 322 65.85 train
3/22/1963 65.85 66.44 65.68 66.19 382 66.19 train
3/25/1963 66.19 66.6 65.92 66.21 370 66.21 test
3/26/1963 66.21 66.73 66.01 66.4 410 66.4 train
3/27/1963 66.4 66.93 66.21 66.68 427 66.68 test
3/28/1963 66.68 67.01 66.32 66.58 389 66.58 train
3/29/1963 66.58 66.9 66.23 66.57 339 66.57 train
4/1/1963 66.57 67.18 66.23 66.85 389 66.85 test
4/2/1963 66.85 67.36 66.51 66.84 436 66.84 train
4/3/1963 66.84 67.55 66.63 67.36 466 67.36 test
4/4/1963 67.36 68.12 67.28 67.85 530 67.85 train
4/5/1963 67.85 68.46 67.46 68.28 524 68.28 train
4/8/1963 68.28 68.91 68.05 68.52 594 68.52 train
4/9/1963 68.52 68.84 68.03 68.45 509 68.45 test
4/10/1963 68.45 68.89 67.66 68.29 588 68.29 train
4/11/1963 68.29 69.07 67.97 68.77 525 68.77 train
4/15/1963 68.77 69.56 68.58 69.09 593 69.09 train
4/16/1963 69.09 69.61 68.66 69.14 557 69.14 train
4/17/1963 69.14 69.37 68.47 68.92 522 68.92 train
4/18/1963 68.92 69.34 68.56 68.89 477 68.89 train
4/19/1963 68.89 69.46 68.6 69.23 466 69.23 train
4/22/1963 69.23 69.82 69.01 69.3 518 69.3 train
4/23/1963 69.3 69.83 68.95 69.53 522 69.53 train
4/24/1963 69.53 70.12 69.34 69.72 591 69.72 train
4/25/1963 69.72 70.08 69.25 69.76 507 69.76 train
4/26/1963 69.76 70.11 69.23 69.7 449 69.7 train
4/29/1963 69.7 70.04 69.26 69.65 398 69.65 test
4/30/1963 69.65 70.18 69.26 69.8 468 69.8 train
5/1/1963 69.8 70.43 69.61 69.97 506 69.97 test
5/2/1963 69.97 70.5 69.75 70.17 448 70.17 test
5/3/1963 70.17 70.51 69.78 70.03 476 70.03 train
5/6/1963 70.03 70.31 69.32 69.53 409 69.53 train
5/7/1963 69.53 69.92 69.03 69.44 414 69.44 test
5/8/1963 69.44 70.24 69.23 70.01 514 70.01 test
5/9/1963 70.01 70.74 69.86 70.35 560 70.35 train
5/10/1963 70.35 70.81 69.99 70.52 526 70.52 train
5/13/1963 70.52 70.89 70.11 70.48 492 70.48 train
5/14/1963 70.48 70.73 69.92 70.21 474 70.21 train
5/15/1963 70.21 70.77 69.87 70.43 565 70.43 train
5/16/1963 70.43 70.81 69.91 70.25 564 70.25 train
5/17/1963 70.25 70.63 69.83 70.29 441 70.29 train
5/20/1963 70.29 70.48 69.59 69.96 471 69.96 test
5/21/1963 69.96 70.51 69.62 70.14 557 70.14 train
5/22/1963 70.14 70.68 69.82 70.14 556 70.14 train
5/23/1963 70.14 70.53 69.79 70.1 440 70.1 test
